Gene	FBgene	GeneSymbol	OmegaBackground	OmegaTest	PvalBackground	PvalTest	PvalDiff
OG_12973	-	TSR1	0.05590777466574916	0.1395935335219618	9.866115914403117e-05	0.5	4.835276623538221e-11
OG_9593	FBgn0010238	Lac	0.04298756930175054	0.04656633443150505	5.636924260699061e-11	0.4496256180664339	3.866102422145357e-05
OG_19218	-	CC115	0.1672548293126579	0.1993947493378783	0.2442286728531127	0.5	0.6770650042790736
OG_9545	FBgn0030969	Usp39	0.02249752030871075	0.05226215975790061	0.01185703613275202	0.5	0.01903634076259375
OG_11818	-	OG_11818	0.1611296775736932	0.2347669947001338	0.1971125308674434	0.4956510805006265	0.487321803132871
OG_11036	-	T184C	0.09790432795778069	0.1452191812892504	2.294601644248218e-06	0.1783622142978866	0.0597383073136134
OG_25605	-	YY46	0.01615107752467665	0.03530594540402371	0.2982244692801131	0.06733088904959705	0.2261383295903212
OG_1025	FBgn0262508	CG43078	0.1257247211271638	0.1748573931757485	2.780383423495181e-09	0.5	0.005141321647380237
OG_8768	-	CHI10	0.1351633647702265	0.1469370110520417	0.1073322323587025	0.4722402869450744	0.8243581255443315
OG_8908	-	KIN10	0.05859008865384965	0.07756264850369146	0.0006110061406390255	0.2887431628017819	0.0379815029139372
OG_3880	FBgn0014184	Oda	0.1056311874318739	0.08106740149013769	5.551115123125783e-16	6.904421119280357e-07	0.7855285953675762
OG_10203	-	MITD1	0.0687461188015091	0.2173856024957175	0.4360227047509963	0.1913234963329608	0.001447361888309073
OG_24582	-	DJC25	0.06893880042623868	0.1548185079924621	0.435061013422142	0.5	0.006822773212575628
OG_9003	-	RT30	0.09769676551872711	0.1445022773303564	0.002693008558656396	0.5	0.1679352663372387
OG_12046	-	SNR25	0.1184473462024513	0.1692064239607796	0.0009766321504736664	0.5	0.4965147716715075
OG_10297	-	YVAQ	0.0829523246362588	0.1495014343281389	0.1842108804700278	0.004006002784718909	0.066791009752169
OG_10808	FBgn0000253	Cam	0.09729891316351026	0.1837380238894156	0.2478482715796195	0.2273783493349244	0.3288651071301878
OG_11836	-	PRP38	0.04091279006493685	0.05760460331942123	6.084388464905333e-05	0.484573582398505	0.5712979563252278
OG_18432	FBgn0027945	ppl	0.08348439448151036	0.1261215971909732	0.005736679361668884	0.5	0.1298144183510179
OG_2023	FBgn0016696	Pitslre	0.06558618960192819	0.0909382070503324	2.808895575745485e-05	0.5	0.004808274916943023
OG_2419	-	OG_2419	0.1266928732264298	0.2495712444138724	0.5	0.1113212508320851	1
OG_11601	FBgn0260964	Vmat	0.1145422807601637	0.1380771719995149	9.048317650695026e-15	0.008433772817394769	0.006976563101107169
OG_937	FBgn0015240	Hr96	0.05745538783569641	0.05575132324043973	0.0005823365142186843	0.4996357138142658	0.06747419544875954
OG_11693	-	TRY1	0.1684616856932963	0.2142162738891824	0.1978809318347938	0.5	1
OG_5384	FBgn0051482	CG31482	0.0434992647515349	0.07483010086842758	3.395277392570506e-10	0.2738711526451207	9.541089866282881e-06
OG_1838	FBgn0003410	sina	0.05784340657848861	0.1293789093423056	0.2426033343012257	0.000142861538320993	0.01898173473164777
OG_10376	-	RM15	0.04605698761779931	0.09943813791925966	0.3503300812242175	0.05506459733599506	0.03798096642215487
OG_651	FBgn0027338	Kap-alpha3	0.02923178416229338	0.03775942217611609	2.937845921946458e-05	0.05422628767226595	0.2560786518628411
OG_10825	-	OG_10825	0.11101686131938	0.1387108342418388	0.06969008969291418	0.0449426543118403	0.8200485050177142
OG_8171	FBgn0037020	Pex14	0.04832545739817761	0.09624752267015219	0.5	0.5	0.1815474670499791
OG_8966	-	RSPRY	0.34418111704123	0.4713607252610936	0.0004717267183770302	0.01031037564464082	0.05130415166446833
OG_2412	FBgn0034350	Lamtor2	0.004206892866094603	0.01569478567728837	4.442148392569401e-06	0.5	0.2279363069917515
OG_21810	FBgn0020309	crol	0.06334485335539058	0.1124799050869494	0.0007004942847504414	5.171598680409062e-07	1
OG_14451	-	LYSC	0.01627683903869367	0.04382490501583378	0.4817722261159768	0.4798692696754133	0.4473726610079576
OG_9301	FBgn0033810	CG4646	0.04814571366590394	0.06398638704000184	0.01505163421651529	0.5	0.5183272861599438
OG_9578	FBgn0039405	PIG-P	0.1296152333616002	0.2370316240282382	0.4604645661629242	0.3674732705612085	0.3661842454222135
OG_8621	FBgn0032195	CG4908	0.03458985316933481	0.05740553771908857	0.0001119114092976159	0.5	0.561189808175224
OG_12256	-	OG_12256	0.1424041367300523	0.1416118850767794	2.64275268335723e-11	0.5	0.2426095437084322
OG_9970	-	KLH26	0.09328291078783199	0.1696608465933011	0.5	0.5	0.0004912529780177755
OG_451	FBgn0052672	Atg8a	0.04316541524379273	0.09583051099162831	0.004054008342489479	0.5	0.001399389990362598
OG_30860	FBgn0037513	pyd3	0.09024383460768613	0.1518074327086438	0.00687970116605191	0.3945332269357703	0.1478424663434751
OG_2092	FBgn0037684	Srr	0.08274223312690566	0.08246040962817658	2.552632549779332e-10	0.4357269163758451	0.9837303459138552
OG_9944	-	SFT2	0.03944530594404903	0.08114267881928466	0.0001569598740289169	0.5	0.01831382530741499
OG_515	FBgn0283510	Pal1	0.1119327294584612	0.1173863253347863	1.903356616761442e-08	0.07425670780406679	5.441231426039916e-05
OG_2364	FBgn0027945	ppl	0.1139983122131231	0.2036901462897663	0.01239353871673754	1.429129539476381e-05	0.2678990823976163
OG_342	FBgn0052280	CG32280	0.02496926261038504	0.07009033087508736	0.5	0.5	0.2012926569482815
OG_12248	-	SYP22	0.07836671585050575	0.1271630309073631	0.1070607947242144	0.0004539559663044868	1
OG_18453	-	CU20	0.04440584885664114	0.04639237980614539	0.1161918469995039	0.5	0.5678604388565791
OG_1995	FBgn0038396	CG5013	0.05133210288232375	0.1141882360036923	2.070069213266912e-07	0.0006196862350391075	0.05382422747628635
OG_30874	-	KXDL1	0.05595238805089868	0.06926090064831823	0.0779195327705397	0.5	0.6255412581578808
OG_14345	-	OG_14345	0.2170124953717558	0.281119965933029	0.4980758617139244	0.5	0.9479463649088171
OG_13082	-	CX7A1	0.1222822998315219	0.1844844732395732	0.3521534276275152	0.3962572496834355	0.8203497722354193
OG_1066	FBgn0022029	l(2)k01209	0.008929571659244946	0.01949510787398235	0.5	0.5	0.678270287354884
OG_12068	FBgn0038621	CG10864	0.0229600702567953	0.04554593461395197	0.004286999200688146	0.5	0.2780338844591957
OG_8933	-	TMM94	0.07615819182633894	0.1016416333064224	1.110223024625157e-16	4.180749085813673e-08	1
OG_10308	-	TMM70	0.1073848817868834	0.2170820951984598	0.4835888432195166	0.5	0.1225106607101879
OG_20626	-	SAHH	0.02172702153130617	0.0524008921044976	4.781300118605891e-07	0.5	0.008831770300102848
OG_8460	FBgn0261625	GLS	0.0226857086617159	0.03513713450225597	0.5	0.1645030326214747	0.3955219579742558
OG_29855	-	SPAST	0.0453688862473404	0.1268504718882364	0	0	4.503575182779329e-07
OG_13107	-	SNAPN	0.0744725466627489	0.2686296440919385	0.3875515523226872	0.4796346057160209	0.002476059434763589
OG_2286	FBgn0031452	Cwc25	0.1529989146465478	0.2743647936200339	2.44886261658861e-05	0.2428373502379751	0.06500419990648387
OG_10398	-	TBRG1	0.07861868997948952	0.09981441938730529	0.008622492729292941	0.5	0.4210673581379176
OG_10259	-	Y2979	0.2115342057067175	0.315583578450609	1.388939427804381e-06	0.5	0.001076773877882742
OG_2747	FBgn0264574	Glut1	0.06134890801618707	0.07117143952603304	0	0.122295486213905	0.0006773632856350575
OG_641	FBgn0036514	CG12301	0.1310951067535134	0.2925909763981306	8.683018859478864e-09	0.5	1.765181245616532e-08
OG_11782	-	TM130	0.0872556856615681	0.1231257890585662	0.03476643041222699	0.4620848531586741	0.8470860814115195
OG_25783	-	OG_25783	0.04287028074851378	0.1007931051095228	0.3705910780574039	0.08214735098575476	0.08957190248427016
OG_9658	-	MAAI2	0.0128147210458055	0.0369118766892568	0.5	0.5	0.2181917114975686
